;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
#############################################;;;;;;;;;;;;;;x
#Additional CBs;;;;;;;;;;;;;;x
#############################################;;;;;;;;;;;;;;x
demand_concession_casus_belli_china;Chinese Core Concession;;;;;;;;;;;x
demand_concession_casus_belli_china_short;Demand $STATE$ from China;;;;;;;;;;;x
demand_concession_casus_belli_china_desc;Force China to concede core territory.;;;;;;;;;;;x
demand_concession_casus_belli_china_setup;Demand that $RECIPIENT$ cede territory.;;;;;;;;;;;x
take_capital_earlygame;Take Capital Earlygame;;;;;;;;;;;x
take_capital_earlygame_short;Acquire capital $STATE$.;;;;;;;;;;;x
take_capital_earlygame_desc;Force target to concede its capital $STATE$.;;;;;;;;;;;x
take_capital_earlygame_setup;Demand that $RECIPIENT$ cede its capital.;;;;;;;;;;;x
take_capital_midgame;Take Capital Midgame;;;;;;;;;;;x
take_capital_midgame_short;Acquire capital $STATE$.;;;;;;;;;;;x
take_capital_midgame_desc;Force target to concede its capital $STATE$.;;;;;;;;;;;x
take_capital_midgame_setup;Demand that $RECIPIENT$ cede its capital.;;;;;;;;;;;x
take_capital_lategame;Take Capital Lategame;;;;;;;;;;;x
take_capital_lategame_short;Acquire capital $STATE$.;;;;;;;;;;;x
take_capital_lategame_desc;Force target to concede its capital $STATE$.;;;;;;;;;;;x
take_capital_lategame_setup;Demand that $RECIPIENT$ cede its capital.;;;;;;;;;;;x
acquire_state_tiny;Acquire Tiny State;;;;;;;;;;;x
acquire_state_tiny_short;Acquire Tiny State $STATE$.;;;;;;;;;;;x
acquire_state_tiny_desc;Aquire an enemy §Ytiny state§W.;;;;;;;;;;;x
acquire_state_tiny_setup;Demand that $RECIPIENT$ cede its tiny state.;;;;;;;;;;;x
acquire_state_tiny_americas;Acquire Tiny State in the Americas;;;;;;;;;;;x
acquire_state_tiny_americas_short;Acquire Tiny State $STATE$ in the Americas.;;;;;;;;;;;x
acquire_state_tiny_americas_desc;Aquire an enemy §Ytiny state§W in the Americas.;;;;;;;;;;;x
acquire_state_tiny_americas_setup;Demand that $RECIPIENT$ cede its tiny state in the Americas.;;;;;;;;;;;x
acquire_state_small;Acquire Small State;;;;;;;;;;;x
acquire_state_small_short;Acquire Small State $STATE$.;;;;;;;;;;;x
acquire_state_small_desc;Aquire an enemy §Ysmall state§W.;;;;;;;;;;;x
acquire_state_small_setup;Demand that $RECIPIENT$ cede its small state.;;;;;;;;;;;x
acquire_state_small_americas;Acquire Small State in the Americas;;;;;;;;;;;x
acquire_state_small_americas_short;Acquire Small State $STATE$ in the Americas.;;;;;;;;;;;x
acquire_state_small_americas_desc;Aquire an enemy §Ysmall state§W in the Americas.;;;;;;;;;;;x
acquire_state_small_americas_setup;Demand that $RECIPIENT$ cede its small state in the Americas.;;;;;;;;;;;x
acquire_state_medium;Acquire Medium State;;;;;;;;;;;x
acquire_state_medium_short;Acquire Medium State $STATE$.;;;;;;;;;;;x
acquire_state_medium_desc;Aquire an enemy §Ymedium state§W.;;;;;;;;;;;x
acquire_state_medium_setup;Demand that $RECIPIENT$ cede its medium state.;;;;;;;;;;;x
acquire_state_medium_americas;Acquire Medium State in the Americas;;;;;;;;;;;x
acquire_state_medium_americas_short;Acquire Medium State $STATE$ in the Americas.;;;;;;;;;;;x
acquire_state_medium_americas_desc;Aquire an enemy §Ymedium state§W in the Americas.;;;;;;;;;;;x
acquire_state_medium_americas_setup;Demand that $RECIPIENT$ cede its medium state in the Americas.;;;;;;;;;;;x
acquire_state_large;Acquire Large State;;;;;;;;;;;x
acquire_state_large_short;Acquire Large State $STATE$.;;;;;;;;;;;x
acquire_state_large_desc;Aquire an enemy §Ylarge state§W.;;;;;;;;;;;x
acquire_state_large_setup;Demand that $RECIPIENT$ cede its large state.;;;;;;;;;;;x
acquire_state_large_americas;Acquire Large State in the Americas;;;;;;;;;;;x
acquire_state_large_americas_short;Acquire Large State $STATE$ in the Americas.;;;;;;;;;;;x
acquire_state_large_americas_desc;Aquire an enemy §Ylarge state§W in the Americas.;;;;;;;;;;;x
acquire_state_large_americas_setup;Demand that $RECIPIENT$ cede its large state in the Americas.;;;;;;;;;;;x
acquire_state_huge;Acquire Huge State;;;;;;;;;;;x
acquire_state_huge_short;Acquire Huge State $STATE$.;;;;;;;;;;;x
acquire_state_huge_desc;Aquire an enemy §Yhuge state§W.;;;;;;;;;;;x
acquire_state_huge_setup;Demand that $RECIPIENT$ cede its huge state.;;;;;;;;;;;x
acquire_state_huge_americas;Acquire Huge State in the Americas;;;;;;;;;;;x
acquire_state_huge_americas_short;Acquire Huge State $STATE$ in the Americas.;;;;;;;;;;;x
acquire_state_huge_americas_desc;Aquire an enemy §Yhuge state§W in the Americas.;;;;;;;;;;;x
acquire_state_huge_americas_setup;Demand that $RECIPIENT$ cede its huge state in the Americas.;;;;;;;;;;;x
demand_concession_casus_belli_tiny;Tiny State Concession;;;;;;;;;;;x
demand_concession_casus_belli_tiny_short;Demand Tiny State $STATE$.;;;;;;;;;;;x
demand_concession_casus_belli_tiny_desc;Demand a §Ytiny state§W concession.;;;;;;;;;;;x
demand_concession_casus_belli_tiny_setup;Demand that $RECIPIENT$ cede its tiny state.;;;;;;;;;;;x
demand_concession_casus_belli_small;Small State Concession;;;;;;;;;;;x
demand_concession_casus_belli_small_short;Demand Small State $STATE$.;;;;;;;;;;;x
demand_concession_casus_belli_small_desc;Demand a §Ysmall state§W concession.;;;;;;;;;;;x
demand_concession_casus_belli_small_setup;Demand that $RECIPIENT$ cede its small state.;;;;;;;;;;;x
demand_concession_casus_belli_small_exception;Small State Concession;;;;;;;;;;;x
demand_concession_casus_belli_small_exception_short;Demand Small State $STATE$.;;;;;;;;;;;x
demand_concession_casus_belli_small_exception_desc;Demand a §Ysmall state§W concession.;;;;;;;;;;;x
demand_concession_casus_belli_small_exception_setup;Demand that $RECIPIENT$ cede its small state.;;;;;;;;;;;x
demand_concession_casus_belli_medium;Medium State Concession;;;;;;;;;;;x
demand_concession_casus_belli_medium_short;Demand Medium State $STATE$.;;;;;;;;;;;x
demand_concession_casus_belli_medium_desc;Demand a §Ymedium state§W concession.;;;;;;;;;;;x
demand_concession_casus_belli_medium_setup;Demand that $RECIPIENT$ cede its medium state.;;;;;;;;;;;x
demand_concession_casus_belli_medium_exception;Medium State Concession;;;;;;;;;;;x
demand_concession_casus_belli_medium_exception_short;Demand Medium State $STATE$.;;;;;;;;;;;x
demand_concession_casus_belli_medium_exception_desc;Demand a §Ymedium state§W concession.;;;;;;;;;;;x
demand_concession_casus_belli_medium_exception_setup;Demand that $RECIPIENT$ cede its medium state.;;;;;;;;;;;x
demand_concession_casus_belli_large;Large State Concession;;;;;;;;;;;x
demand_concession_casus_belli_large_short;Demand Large State $STATE$.;;;;;;;;;;;x
demand_concession_casus_belli_large_desc;Demand a §Ylarge state§W concession.;;;;;;;;;;;x
demand_concession_casus_belli_large_setup;Demand that $RECIPIENT$ cede its large state.;;;;;;;;;;;x
demand_concession_casus_belli_large_exception;Large State Concession;;;;;;;;;;;x
demand_concession_casus_belli_large_exception_short;Demand Large State $STATE$.;;;;;;;;;;;x
demand_concession_casus_belli_large_exception_desc;Demand a §Ylarge state§W concession.;;;;;;;;;;;x
demand_concession_casus_belli_large_exception_setup;Demand that $RECIPIENT$ cede its large state.;;;;;;;;;;;x
demand_concession_casus_belli_huge;Huge State Concession;;;;;;;;;;;x
demand_concession_casus_belli_huge_short;Demand Huge State $STATE$.;;;;;;;;;;;x
demand_concession_casus_belli_huge_desc;Demand a §Yhuge state§W concession.;;;;;;;;;;;x
demand_concession_casus_belli_huge_setup;Demand that $RECIPIENT$ cede its huge state.;;;;;;;;;;;x
demand_concession_casus_belli_huge_exception;Huge State Concession;;;;;;;;;;;x
demand_concession_casus_belli_huge_exception_short;Demand Huge State $STATE$.;;;;;;;;;;;x
demand_concession_casus_belli_huge_exception_desc;Demand a §Yhuge state§W concession.;;;;;;;;;;;x
demand_concession_casus_belli_huge_exception_setup;Demand that $RECIPIENT$ cede its huge state.;;;;;;;;;;;x
place_in_the_sun_tiny;Tiny Place in the Sun;;;;;;;;;;;x
place_in_the_sun_tiny_short;Acquire Tiny State $STATE$.;;;;;;;;;;;x
place_in_the_sun_tiny_desc;Demand a §Ytiny state§W colony.;;;;;;;;;;;x
place_in_the_sun_tiny_setup;Acquire Tiny State $STATE$ from $RECIPIENT$.;;;;;;;;;;;x
place_in_the_sun_small;Small Place in the Sun;;;;;;;;;;;x
place_in_the_sun_small_short;Acquire Small State $STATE$.;;;;;;;;;;;x
place_in_the_sun_small_desc;Demand a §Ysmall state§W colony.;;;;;;;;;;;x
place_in_the_sun_small_setup;Acquire Small State $STATE$ from $RECIPIENT$.;;;;;;;;;;;x
place_in_the_sun_medium;Medium Place in the Sun;;;;;;;;;;;x
place_in_the_sun_medium_short;Acquire Medium State $STATE$.;;;;;;;;;;;x
place_in_the_sun_medium_desc;Demand a §Ymedium state§W colony.;;;;;;;;;;;x
place_in_the_sun_medium_setup;Acquire Medium State $STATE$ from $RECIPIENT$.;;;;;;;;;;;x
place_in_the_sun_large;Large Place in the Sun;;;;;;;;;;;x
place_in_the_sun_large_short;Acquire Large State $STATE$.;;;;;;;;;;;x
place_in_the_sun_large_desc;Demand a §Ylarge state§W colony.;;;;;;;;;;;x
place_in_the_sun_large_setup;Acquire Large State $STATE$ from $RECIPIENT$.;;;;;;;;;;;x
place_in_the_sun_huge;Huge Place in the Sun;;;;;;;;;;;x
place_in_the_sun_huge_short;Acquire Huge State $STATE$.;;;;;;;;;;;x
place_in_the_sun_huge_desc;Demand a §Yhuge state§W colony.;;;;;;;;;;;x
place_in_the_sun_huge_setup;Acquire Huge State $STATE$ from $RECIPIENT$.;;;;;;;;;;;x
free_peoples_tiny;Free People Tiny State;;;;;;;;;;;x
free_peoples_tiny_short;$THIRD$ acquires $STATE$.;;;;;;;;;;;x
free_peoples_tiny_desc;Liberate a §Ycountry§W's state from its oppressors.;;;;;;;;;;;x
free_peoples_tiny_setup;Hand $STATE$ back to $THIRD$ from $RECIPIENT$.;;;;;;;;;;;x
free_peoples_small;Free People Small State;;;;;;;;;;;x
free_peoples_small_short;$THIRD$ acquires $STATE$.;;;;;;;;;;;x
free_peoples_small_desc;Liberate a §Ycountry§W's state from its oppressors.;;;;;;;;;;;x
free_peoples_small_setup;Hand $STATE$ back to $THIRD$ from $RECIPIENT$.;;;;;;;;;;;x
free_peoples_medium;Free People Medium State;;;;;;;;;;;x
free_peoples_medium_short;$THIRD$ acquires $STATE$.;;;;;;;;;;;x
free_peoples_medium_desc;Liberate a §Ycountry§W's state from its oppressors.;;;;;;;;;;;x
free_peoples_medium_setup;Hand $STATE$ back to $THIRD$ from $RECIPIENT$.;;;;;;;;;;;x
free_peoples_large;Free People Large State;;;;;;;;;;;x
free_peoples_large_short;$THIRD$ acquires $STATE$.;;;;;;;;;;;x
free_peoples_large_desc;Liberate a §Ycountry§W's state from its oppressors.;;;;;;;;;;;x
free_peoples_large_setup;Hand $STATE$ back to $THIRD$ from $RECIPIENT$.;;;;;;;;;;;x
free_peoples_huge;Free People Huge State;;;;;;;;;;;x
free_peoples_huge_short;$THIRD$ acquires $STATE$.;;;;;;;;;;;x
free_peoples_huge_desc;Liberate a §Ycountry§W's state from its oppressors.;;;;;;;;;;;x
free_peoples_huge_setup;Hand $STATE$ back to $THIRD$ from $RECIPIENT$.;;;;;;;;;;;x
acquire_state_tiny;Acquire Tiny State;;;;;;;;;;;x
acquire_state_tiny_short;Acquire Tiny State $STATE$.;;;;;;;;;;;x
acquire_state_tiny_desc;Aquire an enemy §Ytiny state§W.;;;;;;;;;;;x
acquire_state_tiny_setup;Demand that $RECIPIENT$ cede its tiny state.;;;;;;;;;;;x
acquire_state_small;Acquire Small State;;;;;;;;;;;x
acquire_state_small_short;Acquire Small State $STATE$.;;;;;;;;;;;x
acquire_state_small_desc;Aquire an enemy §Ysmall state§W.;;;;;;;;;;;x
acquire_state_small_setup;Demand that $RECIPIENT$ cede its small state.;;;;;;;;;;;x
acquire_state_small_americas;Acquire Small State;;;;;;;;;;;x
acquire_state_small_americas_short;Acquire Small State $STATE$.;;;;;;;;;;;x
acquire_state_small_americas_desc;Aquire an enemy §Ysmall state§W.;;;;;;;;;;;x
acquire_state_small_americas_setup;Demand that $RECIPIENT$ cede its small state.;;;;;;;;;;;x
acquire_state_medium;Acquire Medium State;;;;;;;;;;;x
acquire_state_medium_short;Acquire Medium State $STATE$.;;;;;;;;;;;x
acquire_state_medium_desc;Aquire an enemy §Ymedium state§W.;;;;;;;;;;;x
acquire_state_medium_setup;Demand that $RECIPIENT$ cede its medium state.;;;;;;;;;;;x
acquire_state_large;Acquire Large State;;;;;;;;;;;x
acquire_state_large_short;Acquire Large State $STATE$.;;;;;;;;;;;x
acquire_state_large_desc;Aquire an enemy §Ylarge state§W.;;;;;;;;;;;x
acquire_state_large_setup;Demand that $RECIPIENT$ cede its large state.;;;;;;;;;;;x
acquire_state_huge;Acquire Huge State;;;;;;;;;;;x
acquire_state_huge_short;Acquire Huge State $STATE$.;;;;;;;;;;;x
acquire_state_huge_desc;Aquire an enemy §Yhuge state§W.;;;;;;;;;;;x
acquire_state_huge_setup;Demand that $RECIPIENT$ cede its huge state.;;;;;;;;;;;x
safeguard_bohemia;Bohemian Unity;x
safeguard_bohemia_desc;We and the Poles have been in the constant state of conflict over the lands of Bohemia and Moravia, using an old claim of the Jagiellon's dynasty to justify this invasion. We must drive them back and establish a firm hold on our territories!;x
safeguard_bohemia_setup;Force Poland to relinquish their claims over Bohemia;x
safeguard_bohemia_short;Force Poland to relinquish their claims over Bohemia;x
install_jagiellon;Bring Bohemia into the fold;x
install_jagiellon;Our country has a history of rulership over Bohemia, we have had many claimants of our dynasty take control of the territories of Bohemia and Moravia. We must push once last time to drive out the Premyslid dynasty from Bohemia!;x
install_jagiellon_setup;Enforce our rule over Bohemia;x
install_jagiellon_short;Enforce our rule over Bohemia;x
conquest_low;Minor Conquest;;;;;;;;;;;;;
conquest_low_desc;Conquer $RECIPIENT$;;;;;;;;;;;;;
conquest_low_setup;Annex $RECIPIENT$;;;;;;;;;;;;;
conquest_low_short;Annex $RECIPIENT$;;;;;;;;;;;;;
conquest_tiny;Tiny Conquest;;;;;;;;;;;;;
conquest_tiny_desc;Conquer $RECIPIENT$;;;;;;;;;;;;;
conquest_tiny_setup;Annex $RECIPIENT$;;;;;;;;;;;;;
conquest_tiny_short;Annex $RECIPIENT$;;;;;;;;;;;;;
conquest_miniscule;Miniscule Conquest;;;;;;;;;;;;;
conquest_miniscule_desc;Conquer $RECIPIENT$;;;;;;;;;;;;;
conquest_miniscule_setup;Annex $RECIPIENT$;;;;;;;;;;;;;
conquest_miniscule_short;Annex $RECIPIENT$;;;;;;;;;;;;;
negotiated_transfer_cb;Negotiated Transfer;;;;;;;;;;;;;
negotiated_transfer_cb_desc;Transfer a state or colonial region to another country with no effect on infamy, prestige, or jingoism;;;;;;;;;;;;;
negotiated_transfer_cb_short;$RECIPIENT$ transfer $STATE$ to us;;;;;;;;;;;;;
negotiated_transfer_cb_setup;Transfer $STATE$ from $RECIPIENT$ to our country;;;;;;;;;;;;;
NORMAL_WAR_NEGOTIATE_NAME;$ORDER$$SECOND$ Transfer of $STATE$ to $FIRST_COUNTRY$;;;;;;;;;;;;;
AGRESSION_WAR_NEGOTIATE_NAME;$ORDER$$SECOND$ Transfer of $STATE$ to $FIRST_COUNTRY$;;;;;;;;;;;;;
mongol_unification_cb_desc;Aquire an enemy state;;;;;;;;;;;;;
mongol_unification_cb_setup;Acquire $STATE$ from $RECIPIENT$;;;;;;;;;;;;;
mongol_unification_cb_short;Acquire $STATE$;;;;;;;;;;;;;
mongol_unification_cb;Mongol Unification;;;;;;;;;;;;;
imperial_restoration_cb;Imperial Reconquest;x
imperial_restoration_cb_short;Acquire $STATE$ from $RECIPIENT$;x
imperial_restoration_cb_desc;This casus-belli will conquer a state, usable on people with Byzantine cores.;x
imperial_restoration_cb_setup;Acquire $STATE$ from $RECIPIENT$.;x
imperial_restoration_annex_cb;Imperial Reintegration;x
imperial_restoration_annex_cb_setup;$RECIPIENT$ will be annexed to us.;x
imperial_restoration_annex_cb_short;Imperial Reintegration;x
imperial_restoration_annex_cb_desc;This casus-belli annexes a country with nothing but byzantine cores.;x
chinese_unification_annex_cb_desc;This casus-belli will annex small Chinese countries with only Chinese cores;x
chinese_unification_annex_cb_setup;$RECIPIENT$ will be annexed to us;x
chinese_unification_annex_cb;Chinese Unification;x
chinese_unification_annex_cb_short;Chinese Unification;x
chinese_unification_cb;Acquire Chinese State;x
chinese_unification_cb_short;Acquire $STATE$;x
chinese_unification_cb_setup;Acquire $STATE$ from $RECIPIENT$;x
chinese_unification_cb_desc;Acquire $STATE$;x
acquire_state_america;Acquire American State;;;;;;;;;;;;;
acquire_state_america_short;Acquire $STATE$;;;;;;;;;;;;;
acquire_state_america_desc;Acquire $STATE$;;;;;;;;;;;;;
acquire_state_america_setup;Acquire $STATE$ from $RECIPIENT$;;;;;;;;;;;;;
take_capital;Take Capital;x
take_capital_short;Take Capital;x
take_capital_desc;Take this country's capital;x
take_capital_setup;Take $RECIPIENT$'s capital;x
take_capital_america;Take American Capital;x
take_capital_america_short;Take Capital;x
take_capital_america_desc;Take this country's capital;x
take_capital_america_setup;Take $RECIPIENT$'s capital;x
roman_civil_war_cb;Roman Civil War;x
roman_civil_war_cb_short;Acquire $STATE$ from $RECIPIENT$;x
roman_civil_war_cb_desc;Acquire $STATE$.;x
roman_civil_war_cb_setup;Acquire $STATE$ from $RECIPIENT$.;x
