From;To;Type;Through;Data;Comment
1452;1454;sea;2856;0;Biak - Merah Strait
2406;1485;sea;2825;0;Penghu - Taiwan Strait
1071;1142;sea;2787;0;Bandar abbhas - Homuz Strait
1071;1141;sea;2787;0;Lengeh - Homuz Strait
1083;1086;sea;2832;0;Tatar Straits
1661;2589;sea;2829;0;Nagasaki-Tsushima
2589;1632;sea;2829;0;Tsushima-Pusan
1087;1643;sea;2831;0;La Perouse Strait
1162;1165;sea;2788;0;Bahrain Strait
1309;1322;sea;2794;0;Palk Strait #Ceylon-S India
1310;1322;sea;2794;0;Palk Strait #Ceylon-S India
1384;1402;sea;3334;0;Straits of Johore
1384;1385;sea;3334;0;Straits of Johore to Singapore
1403;1413;land;2805;0;Sunda Strait
1418;1421;sea;2811;0;Strait of Madura
1420;1438;sea;2811;0;Bali Strait
1438;1442;sea;2811;0;Lombok Strait
1442;1440;sea;2811;0;Sumbawa Strait
1495;1499;sea;2823;0;Hainan Strait
1457;1461;sea;2849;0;Tacloban Strait
1640;1660;land;2843;0;Fukuoka Strait
1642;1672;sea;2841;0;Hakodate Strait
1664;1666;sea;2843;0;Matsuyama Strait
1667;1659;sea;2843;0;Setto Strait
1411;1408;sea;2803;0;Gunungsitoli Strait
1404;1399;land;2813;0;Palak Panang Strait
1402;1398;sea;3334;0;Tanjungpinang Strait
1458;1455;land;2848;0;Mindoro Strait
1458;1459;sea;2848;0;Mindoro Strait
1458;1460;land;2850;0;Mindoro Strait
2565;1461;land;2850;0;Cebu Strait
2565;1460;land;2850;0;Cebu Strait
1461;1463;land;2850;0;Davao Strait
1462;1460;land;2850;0;Iloilo Strait
1462;1464;sea;2851;0;Sulu Strait
1440;1439;sea;2810;0;Sumbawa-Flores Strait
1440;1441;sea;2808;0;Sumbawa-Sumba Strait
1441;1443;sea;2809;0;Sumba-Roti Strait
1443;1445;sea;2809;0;Roti-Kaupeng Strait
1439;1444;sea;2809;0;Flores-Alor Strait
1444;1446;sea;2809;0;Alor-Dili Strait
1444;1451;sea;2854;0;Alor-Aru Strait
1446;1451;sea;2854;0;Dili-Aru Strait
1450;1449;sea;2853;0;Ceram-Ambon Strait
1449;1447;sea;2852;0;Ambon Strait
1447;1448;sea;2853;0;Ternate-Jilolo Strait
1451;1453;sea;2862;0;Aru-Sorong Strait
1450;1453;sea;2853;0;Ceram-Sorong Strait
1447;1434;sea;2852;0;Ternate Strait
1437;1436;sea;2810;0;Bulon-Kendari Strait
1435;1425;sea;2812;0;Palu-Tarakan Strait
1644;1089;sea;2839;0;Nemuru-Etorofu Strait
1089;1088;sea;2839;0;Etorofu-Shumshu Strait
1088;1074;sea;2838;0;Shumshu-Petropavlosk
1679;1678;sea;2845;0;Amari-Okinawa Strait
1637;1635;sea;2829;0;Cheju-Kwangju Strait
12;1645;land;2841;0;Sado-Niigata Strait
#
# Oceanian Straits
#
2512;2516;sea;2876;0;Cook Strait #NZ
2512;2516;sea;2881;0;Cook Strait #NZ
2537;1531;sea;2858;0;Villan Strait #New Britain-New Ireland

#
# Impassables
#
1252;1328;impassable;0;0;scare mountain
1326;1589;impassable;0;0;scary mountain
1326;1592;impassable;0;0;scary mountain
1326;1328;impassable;0;0;scary mountain
1328;1329;impassable;0;0;scary mountain
1328;1589;impassable;0;0;scary mountain
1329;1589;impassable;0;0;scary mountain
1329;1590;impassable;0;0;scary mountain
1329;1590;impassable;0;0;scary mountain
1329;1593;impassable;0;0;scary mountain
1258;1593;impassable;0;0;scary mountain
1260;1593;impassable;0;0;scary mountain
1259;1593;impassable;0;0;scary mountain
1238;1592;impassable;0;0;scary mountain
1244;1592;impassable;0;0;scary mountain
1235;1592;impassable;0;0;scary mountain
1226;1592;impassable;0;0;scary mountain
1327;1592;impassable;0;0;scary mountain
1328;1592;impassable;0;0;scary mountain
1225;1594;impassable;0;0;scary mountain
1226;1594;impassable;0;0;scary mountain
1210;1594;impassable;0;0;scary mountain
1208;1594;impassable;0;0;scary mountain

#Carpathians

660;663;impassable;0;0;Secuime-Suceava
660;672;impassable;0;0;Secuime-Bacau

#Alps

#727;735;impassable;0;0;Bergamo-Bozen
#727;734;impassable;0;0;Bergamo-Trent
#732;735;impassable;0;0;Treviso-Bozen
#732;615;impassable;0;0;Treviso-Lienz
#732;618;impassable;0;0;Treviso-Klagenfurth
#733;618;impassable;0;0;Udine-Klagenfurt
2669;735;impassable;0;0;Sondrio-Bozen
#2669;734;impassable;0;0;Sondrio-Trent
2669;611;impassable;0;0;Sondrio-Chur
#2669;2568;impassable;0;0;Sondrio-Lugano
#8;734;impassable;0;0;Belluno-Trent
8;735;impassable;0;0;Belluno-Bozen
8;615;impassable;0;0;Belluno-Lienz
8;618;impassable;0;0;Belluno-Klagenfurt
#727;611;impassable;0;0;Bergamo-Chur
#727;2568;impassable;0;0;Bergamo-Lugano
722;605;impassable;0;0;Novara-Bern
#2568;722;impassable;0;0;Lugano-Novara
609;722;impassable;0;0;Sitten-Novara
606;722;impassable;0;0;Lucerne-Novara

#Pyrenees

457;496;impassable;0;0;Foix-Huesca 
460;496;impassable;0;0;Pau-Huesca
457;499;impassable;0;0;Foix-Gérona
457;500;impassable;0;0;FOix-Lérida

#Alaskan Panhandle

2;6;impassable;0;0;
2;17;impassable;0;0;
1;15;impassable;0;0;
1;16;impassable;0;0;
1;17;impassable;0;0;

#Siberia

2687;2682;impassable;0;0;Northern urals
2689;2682;impassable;0;0;Northern urals
2689;1062;impassable;0;0;Northern urals
1026;1062;impassable;0;0;Northern urals
2659;2657;impassable;0;0;Yamal-Yenisei
2659;2692;impassable;0;0;Yamal-Yenisei
2615;2692;impassable;0;0;Yamal-Yenisei
2646;2692;impassable;0;0;Yamal-Yenisei
2654;2653;impassable;0;0;Yenisei-Yakut
2654;2673;impassable;0;0;Yenisei-Yakut
2693;2673;impassable;0;0;Yenisei-Yakut
2655;2673;impassable;0;0;Yenisei-Yakut
2655;2651;impassable;0;0;Yenisei-Yakut
2675;2651;impassable;0;0;Yenisei-Yakut


#################
#   The canals  #  
#################
3333;2721;canal;369;1;Kiel Canal
2781;2769;canal;1755;2;Suez Canal
2968;3001;canal;1723;3;Panama Canal
2773;2774;canal;860;4;Bosphorus Strait
2772;2773;canal;859;5;Dardanelles Strait
3333;2711;canal;372;6;Norse Straits #Kopenhagen
3333;2710;canal;372;7;Norse Straits #Kopenhagen
2747;2746;canal;517;8;Strait of Gibraltar #Gibraltar
2925;2746;canal;1686;9;Strait of Gibraltar #Tangier
2776;2777;canal;966;10;Kerch Strait #Kerch
2801;3334;canal;1402;11;Johor Strait
2814;3334;canal;1402;12;Johor Strait
2813;2805;canal;1413;13;Java
2806;2805;canal;1403;14;Java
2782;2783;canal;1851;15;Aden to Djibuti 
2784;2783;canal;1412;16;Aden to Djibuti 

#####################
#   Sahara Desert   #
#####################

1781;1803;impassable;0;0;
1781;1802;impassable;0;0;
1781;1801;impassable;0;0;
1781;1796;impassable;0;0;
1781;1778;impassable;0;0;
1781;1779;impassable;0;0;
1782;1779;impassable;0;0;
1782;1773;impassable;0;0;
1782;1774;impassable;0;0;
1716;1773;impassable;0;0;
1716;1696;impassable;0;0;
1716;1698;impassable;0;0;
1716;1699;impassable;0;0;
1720;1698;impassable;0;0;
1720;1697;impassable;0;0;
1720;1715;impassable;0;0;
1720;1713;impassable;0;0;
1711;1713;impassable;0;0;
1712;1713;impassable;0;0;
1712;1710;impassable;0;0;
1712;1727;impassable;0;0;
1712;1729;impassable;0;0;
1719;1729;impassable;0;0;
1719;1744;impassable;0;0;
1712;1744;impassable;0;0;
1718;1744;impassable;0;0;
1721;1744;impassable;0;0;
1814;1744;impassable;0;0;
1814;1741;impassable;0;0;
1825;1741;impassable;0;0;
1826;2564;impassable;0;0;
1826;1842;impassable;0;0;
1821;1842;impassable;0;0;
1821;1823;impassable;0;0;
1821;1818;impassable;0;0;
1824;1818;impassable;0;0;
1817;1816;impassable;0;0;
1817;1815;impassable;0;0;
1812;1811;impassable;0;0;
1812;1810;impassable;0;0;
1812;1815;impassable;0;0;
1807;1810;impassable;0;0;
1807;1808;impassable;0;0;
1807;1805;impassable;0;0;
2609;1805;impassable;0;0;
2609;1803;impassable;0;0;
1825;1742;impassable;0;0;
1825;2585;impassable;0;0;
1826;2585;impassable;0;0;


#########################
#### Sea Adjacencies ####
#########################
2992;2335;sea;0;0;
2992;2400;sea;0;0;
2992;2334;sea;0;0;
2992;2399;sea;0;0;
2881;2513;sea;0;0;
2881;2515;sea;0;0;
2881;2516;sea;0;0;
2881;2512;sea;0;0;
3200;2131;sea;0;0;
2880;2513;sea;0;0;
2876;2513;sea;0;0;
2876;2514;sea;0;0;
2876;2516;sea;0;0;
2876;2512;sea;0;0;
2876;2510;sea;0;0;
2876;2524;sea;0;0;
2875;2482;sea;0;0;
2874;2482;sea;0;0;
3285;2335;sea;0;0;
3285;2400;sea;0;0;
3248;2334;sea;0;0;
2993;2334;sea;0;0;
2993;2333;sea;0;0;
2868;2482;sea;0;0;
2868;2477;sea;0;0;
2868;2493;sea;0;0;
2868;2491;sea;0;0;
2868;2494;sea;0;0;
2868;2492;sea;0;0;
2867;2482;sea;0;0;
2867;2479;sea;0;0;
2867;2477;sea;0;0;
2867;2476;sea;0;0;
2867;2472;sea;0;0;
3048;2131;sea;0;0;
2991;2399;sea;0;0;
2991;2398;sea;0;0;
2879;2512;sea;0;0;
2879;2511;sea;0;0;
2879;2571;sea;0;0;
2879;2524;sea;0;0;
2866;2472;sea;0;0;
2866;2468;sea;0;0;
2866;2469;sea;0;0;
2878;2524;sea;0;0;
2878;2509;sea;0;0;
2994;2333;sea;0;0;
2994;2332;sea;0;0;
2994;2328;sea;0;0;
2994;2329;sea;0;0;
2870;2498;sea;0;0;
2870;2497;sea;0;0;
2870;2504;sea;0;0;
2869;2492;sea;0;0;
2869;2504;sea;0;0;
2869;2496;sea;0;0;
2990;2396;sea;0;0;
2990;2392;sea;0;0;
2990;2355;sea;0;0;
2990;2354;sea;0;0;
2990;2352;sea;0;0;
2913;2090;sea;0;0;
2913;2087;sea;0;0;
2913;2091;sea;0;0;
2913;2088;sea;0;0;
2913;2084;sea;0;0;
2871;2497;sea;0;0;
2871;2499;sea;0;0;
2912;2096;sea;0;0;
2912;2091;sea;0;0;
2912;2098;sea;0;0;
2911;2098;sea;0;0;
2911;2100;sea;0;0;
2911;2111;sea;0;0;
2911;2113;sea;0;0;
2865;2469;sea;0;0;
2865;2470;sea;0;0;
2865;2483;sea;0;0;
2865;2484;sea;0;0;
3287;2496;sea;0;0;
3288;2495;sea;0;0;
3289;2495;sea;0;0;
3220;2508;sea;0;0;
3290;2495;sea;0;0;
2910;2113;sea;0;0;
2910;2049;sea;0;0;
2910;2050;sea;0;0;
2910;2051;sea;0;0;
2910;2057;sea;0;0;
2910;2059;sea;0;0;
2872;2499;sea;0;0;
2872;2502;sea;0;0;
2872;2602;sea;0;0;
2989;2352;sea;0;0;
2989;2351;sea;0;0;
2989;2344;sea;0;0;
2989;2347;sea;0;0;
2989;2348;sea;0;0;
2989;2346;sea;0;0;
2989;2360;sea;0;0;
2989;2359;sea;0;0;
2989;2345;sea;0;0;
2995;2329;sea;0;0;
2995;2330;sea;0;0;
2995;2325;sea;0;0;
2995;2326;sea;0;0;
2914;2084;sea;0;0;
2914;2083;sea;0;0;
3057;2132;sea;0;0;
2864;2484;sea;0;0;
2864;2487;sea;0;0;
2909;2117;sea;0;0;
2909;2122;sea;0;0;
2909;2059;sea;0;0;
2909;2061;sea;0;0;
3080;2117;sea;0;0;
3080;2118;sea;0;0;
3182;2552;sea;0;0;
3182;3320;sea;0;0;
3182;3321;sea;0;0;
3182;608;sea;0;0;
3182;2553;sea;0;0;
3182;3319;sea;0;0;
2907;2118;sea;0;0;
2907;2119;sea;0;0;
2907;2126;sea;0;0;
2907;2120;sea;0;0;
3187;2552;sea;0;0;
3159;801;sea;0;0;
3159;2545;sea;0;0;
2988;2347;sea;0;0;
2988;2464;sea;0;0;
2988;2463;sea;0;0;
2988;2461;sea;0;0;
2915;2083;sea;0;0;
2915;2079;sea;0;0;
2915;2004;sea;0;0;
2882;1097;sea;0;0;
2882;2535;sea;0;0;
3058;2132;sea;0;0;
3291;2601;sea;0;0;
3291;2603;sea;0;0;
3185;2545;sea;0;0;
3179;2540;sea;0;0;
3179;2548;sea;0;0;
3179;2520;sea;0;0;
3179;2545;sea;0;0;
3179;2544;sea;0;0;
2996;2326;sea;0;0;
2996;2323;sea;0;0;
2996;2322;sea;0;0;
2996;2305;sea;0;0;
2873;2602;sea;0;0;
2873;2501;sea;0;0;
3192;2535;sea;0;0;
2908;2125;sea;0;0;
3170;2545;sea;0;0;
3170;801;sea;0;0;
3170;2553;sea;0;0;
3170;2546;sea;0;0;
3170;3249;sea;0;0;
3219;2454;sea;0;0;
2884;2535;sea;0;0;
2884;2536;sea;0;0;
2884;2534;sea;0;0;
2902;2122;sea;0;0;
2902;2061;sea;0;0;
2902;2121;sea;0;0;
2902;2060;sea;0;0;
2902;2120;sea;0;0;
2902;2063;sea;0;0;
2902;2124;sea;0;0;
2902;2123;sea;0;0;
2902;2039;sea;0;0;
2860;2488;sea;0;0;
2860;2528;sea;0;0;
2860;2529;sea;0;0;
2987;2461;sea;0;0;
2987;2457;sea;0;0;
2987;2455;sea;0;0;
2987;2451;sea;0;0;
2987;2447;sea;0;0;
2987;2448;sea;0;0;
2863;2604;sea;0;0;
2863;2488;sea;0;0;
2863;2506;sea;0;0;
2863;2505;sea;0;0;
2863;2529;sea;0;0;
2863;1560;sea;0;0;
2809;2501;sea;0;0;
2809;1443;sea;0;0;
2809;1441;sea;0;0;
2809;1445;sea;0;0;
2809;1446;sea;0;0;
2809;2647;sea;0;0;
2809;1439;sea;0;0;
2809;1444;sea;0;0;
3180;2553;sea;0;0;
3180;2551;sea;0;0;
3255;2358;sea;0;0;
3255;2356;sea;0;0;
3292;2501;sea;0;0;
3292;2506;sea;0;0;
3177;2520;sea;0;0;
3177;2540;sea;0;0;
3177;2544;sea;0;0;
3177;2542;sea;0;0;
3177;2543;sea;0;0;
3177;2547;sea;0;0;
2903;2120;sea;0;0;
2903;2127;sea;0;0;
3203;2129;sea;0;0;
3038;2129;sea;0;0;
3190;2336;sea;0;0;
2861;2501;sea;0;0;
2861;2505;sea;0;0;
2861;2506;sea;0;0;
3076;2244;sea;0;0;
2916;2004;sea;0;0;
2916;2003;sea;0;0;
2916;1999;sea;0;0;
2916;2001;sea;0;0;
3175;2553;sea;0;0;
3175;3249;sea;0;0;
3175;2551;sea;0;0;
3104;2066;sea;0;0;
3104;2067;sea;0;0;
3104;2581;sea;0;0;
3104;2040;sea;0;0;
3104;2042;sea;0;0;
3077;2244;sea;0;0;
2901;2120;sea;0;0;
2901;2039;sea;0;0;
2901;2038;sea;0;0;
2901;2036;sea;0;0;
2901;2048;sea;0;0;
2901;2037;sea;0;0;
2901;2029;sea;0;0;
2901;2030;sea;0;0;
2859;2534;sea;0;0;
2859;2528;sea;0;0;
2859;2539;sea;0;0;
2997;2305;sea;0;0;
2997;2309;sea;0;0;
2997;2307;sea;0;0;
2997;2308;sea;0;0;
2997;2578;sea;0;0;
2997;2304;sea;0;0;
2997;2297;sea;0;0;
3176;2546;sea;0;0;
3176;3249;sea;0;0;
2986;2448;sea;0;0;
2986;2449;sea;0;0;
2986;2439;sea;0;0;
2806;2244;sea;0;0;
2806;1414;sea;0;0;
2806;1416;sea;0;0;
2806;1403;sea;0;0;
3191;2541;sea;0;0;
2885;2534;sea;0;0;
2885;2539;sea;0;0;
2885;1531;sea;0;0;
2808;1441;sea;0;0;
2808;1440;sea;0;0;
2808;1442;sea;0;0;
2808;1438;sea;0;0;
2808;1439;sea;0;0;
3294;1987;sea;0;0;
3294;2017;sea;0;0;
3294;1989;sea;0;0;
2854;1446;sea;0;0;
2854;1444;sea;0;0;
2854;1451;sea;0;0;
2854;1450;sea;0;0;
2854;1449;sea;0;0;
2858;2528;sea;0;0;
2858;2530;sea;0;0;
2858;2537;sea;0;0;
2858;2539;sea;0;0;
2858;2531;sea;0;0;
2858;1531;sea;0;0;
2807;1438;sea;0;0;
2807;1420;sea;0;0;
2807;1419;sea;0;0;
2807;1416;sea;0;0;
3103;2017;sea;0;0;
3103;2016;sea;0;0;
3103;2046;sea;0;0;
3103;1989;sea;0;0;
3103;1990;sea;0;0;
3103;2043;sea;0;0;
3103;1991;sea;0;0;
3103;2035;sea;0;0;
3103;2034;sea;0;0;
3103;2020;sea;0;0;
3103;1997;sea;0;0;
3103;2019;sea;0;0;
3103;2021;sea;0;0;
2811;1438;sea;0;0;
2811;1442;sea;0;0;
2811;1440;sea;0;0;
2811;1439;sea;0;0;
2811;1420;sea;0;0;
2811;1418;sea;0;0;
2811;1421;sea;0;0;
2811;1430;sea;0;0;
2811;1423;sea;0;0;
2811;1424;sea;0;0;
2811;1432;sea;0;0;
2811;1427;sea;0;0;
2810;1439;sea;0;0;
2810;1444;sea;0;0;
2810;1430;sea;0;0;
2810;1437;sea;0;0;
2810;1431;sea;0;0;
2810;1436;sea;0;0;
2810;1449;sea;0;0;
3293;2046;sea;0;0;
3293;2042;sea;0;0;
3053;2130;sea;0;0;
3054;2130;sea;0;0;
2862;1560;sea;0;0;
2862;1451;sea;0;0;
2862;1454;sea;0;0;
2862;1453;sea;0;0;
2862;1450;sea;0;0;
3073;2128;sea;0;0;
2917;2001;sea;0;0;
2917;1983;sea;0;0;
2917;2000;sea;0;0;
2917;2624;sea;0;0;
2917;1974;sea;0;0;
2917;1972;sea;0;0;
2917;1954;sea;0;0;
2917;1973;sea;0;0;
3240;2312;sea;0;0;
2813;1417;sea;0;0;
2813;1415;sea;0;0;
2813;1418;sea;0;0;
2813;1413;sea;0;0;
2813;1403;sea;0;0;
2813;1399;sea;0;0;
2813;1427;sea;0;0;
2813;1404;sea;0;0;
2813;1398;sea;0;0;
2813;1426;sea;0;0;
2805;1414;sea;0;0;
2805;1413;sea;0;0;
2805;1403;sea;0;0;
2804;1403;sea;0;0;
2804;1410;sea;0;0;
2804;1411;sea;0;0;
2804;1408;sea;0;0;
3072;2128;sea;0;0;
3072;1325;sea;0;0;
3109;2303;sea;0;0;
3109;2310;sea;0;0;
2906;2127;sea;0;0;
2852;1436;sea;0;0;
2852;1449;sea;0;0;
2852;1434;sea;0;0;
2852;1447;sea;0;0;
2852;1435;sea;0;0;
2852;1433;sea;0;0;
2852;1448;sea;0;0;
2985;2439;sea;0;0;
2985;2436;sea;0;0;
2985;2435;sea;0;0;
2985;2434;sea;0;0;
2853;1449;sea;0;0;
2853;1450;sea;0;0;
2853;1453;sea;0;0;
2853;1447;sea;0;0;
2853;1448;sea;0;0;
2853;2518;sea;0;0;
2856;1453;sea;0;0;
2856;1454;sea;0;0;
2856;1452;sea;0;0;
2856;2518;sea;0;0;
2856;2519;sea;0;0;
2857;2531;sea;0;0;
2857;1454;sea;0;0;
2812;1432;sea;0;0;
2812;1424;sea;0;0;
2812;1429;sea;0;0;
2812;1435;sea;0;0;
2812;1425;sea;0;0;
2812;1397;sea;0;0;
2887;1531;sea;0;0;
2887;610;sea;0;0;
2998;2297;sea;0;0;
2998;2295;sea;0;0;
2998;2298;sea;0;0;
2998;2292;sea;0;0;
3102;2044;sea;0;0;
3102;2047;sea;0;0;
3102;2028;sea;0;0;
3102;2019;sea;0;0;
3102;2023;sea;0;0;
3221;2527;sea;0;0;
3221;2522;sea;0;0;
2803;1411;sea;0;0;
2803;1408;sea;0;0;
2803;1409;sea;0;0;
2803;1407;sea;0;0;
2900;2030;sea;0;0;
2900;1870;sea;0;0;
2900;1868;sea;0;0;
2900;1871;sea;0;0;
2814;1398;sea;0;0;
2814;1402;sea;0;0;
2814;1426;sea;0;0;
2814;1385;sea;0;0;
2814;1390;sea;0;0;
2814;2576;sea;0;0;
3334;1398;sea;0;0;
3334;1400;sea;0;0;
3334;1402;sea;0;0;
3334;1384;sea;0;0;
3334;1385;sea;0;0;
2886;2523;sea;0;0;
2801;1400;sea;0;0;
2801;1401;sea;0;0;
2801;1402;sea;0;0;
2801;1385;sea;0;0;
2801;1386;sea;0;0;
2801;1387;sea;0;0;
2801;1406;sea;0;0;
2801;2575;sea;0;0;
2801;1405;sea;0;0;
2801;1388;sea;0;0;
2801;1389;sea;0;0;
2801;1352;sea;0;0;
2918;1954;sea;0;0;
2918;1973;sea;0;0;
2918;1958;sea;0;0;
2918;1955;sea;0;0;
2918;1956;sea;0;0;
2918;1957;sea;0;0;
2918;1931;sea;0;0;
2918;1932;sea;0;0;
2918;1934;sea;0;0;
2918;1928;sea;0;0;
2918;1923;sea;0;0;
2918;1919;sea;0;0;
2816;1394;sea;0;0;
2816;1426;sea;0;0;
2816;1395;sea;0;0;
2816;2576;sea;0;0;
3068;1325;sea;0;0;
3236;2026;sea;0;0;
3236;2025;sea;0;0;
3236;1864;sea;0;0;
2984;2434;sea;0;0;
2984;2432;sea;0;0;
2984;2428;sea;0;0;
2984;2431;sea;0;0;
2815;1390;sea;0;0;
2815;2576;sea;0;0;
2815;1391;sea;0;0;
2815;1392;sea;0;0;
2802;1407;sea;0;0;
2802;1405;sea;0;0;
2999;2292;sea;0;0;
2999;2291;sea;0;0;
2999;2280;sea;0;0;
2820;2576;sea;0;0;
3169;2526;sea;0;0;
2855;1448;sea;0;0;
2855;1463;sea;0;0;
2855;1461;sea;0;0;
2920;1888;sea;0;0;
2920;1893;sea;0;0;
2920;1892;sea;0;0;
2920;1887;sea;0;0;
2920;1884;sea;0;0;
2821;1395;sea;0;0;
2821;1393;sea;0;0;
2821;1396;sea;0;0;
2821;1397;sea;0;0;
2821;1459;sea;0;0;
3244;2522;sea;0;0;
3244;610;sea;0;0;
2919;1909;sea;0;0;
2919;1908;sea;0;0;
2919;1894;sea;0;0;
2919;1892;sea;0;0;
2919;1907;sea;0;0;
2919;1914;sea;0;0;
2919;1919;sea;0;0;
2899;1871;sea;0;0;
2899;1872;sea;0;0;
2899;1177;sea;0;0;
2851;1464;sea;0;0;
2851;1397;sea;0;0;
2851;1463;sea;0;0;
2851;1462;sea;0;0;
2851;1459;sea;0;0;
3218;2579;sea;0;0;
3218;610;sea;0;0;
3067;1321;sea;0;0;
3067;1324;sea;0;0;
3067;1322;sea;0;0;
3178;2526;sea;0;0;
3223;610;sea;0;0;
3223;2522;sea;0;0;
2800;1352;sea;0;0;
2800;1344;sea;0;0;
2799;1320;sea;0;0;
2817;1392;sea;0;0;
2817;1354;sea;0;0;
2817;1383;sea;0;0;
2817;1382;sea;0;0;
2817;1380;sea;0;0;
2817;1367;sea;0;0;
2793;1321;sea;0;0;
2793;1319;sea;0;0;
2793;1310;sea;0;0;
2793;1322;sea;0;0;
2888;2519;sea;0;0;
2888;2517;sea;0;0;
3286;1354;sea;0;0;
3286;1364;sea;0;0;
3286;1366;sea;0;0;
2983;2431;sea;0;0;
2983;2429;sea;0;0;
2983;2426;sea;0;0;
2983;2424;sea;0;0;
2921;1884;sea;0;0;
2921;1879;sea;0;0;
2921;1877;sea;0;0;
2921;1792;sea;0;0;
2850;1462;sea;0;0;
2850;1463;sea;0;0;
2850;1460;sea;0;0;
2850;2565;sea;0;0;
2850;1461;sea;0;0;
2850;1459;sea;0;0;
2850;1458;sea;0;0;
2792;1319;sea;0;0;
2792;1318;sea;0;0;
2792;1317;sea;0;0;
2792;1316;sea;0;0;
2792;1302;sea;0;0;
3222;2522;sea;0;0;
2794;1310;sea;0;0;
2794;1322;sea;0;0;
2794;1309;sea;0;0;
2794;2591;sea;0;0;
2794;1304;sea;0;0;
2794;1312;sea;0;0;
2794;1307;sea;0;0;
2794;1306;sea;0;0;
2982;2424;sea;0;0;
2982;2410;sea;0;0;
2982;2411;sea;0;0;
2982;2412;sea;0;0;
2982;2415;sea;0;0;
2818;1354;sea;0;0;
