#############German_annexation_decisions_title_and_descriptions##############;;;;;;;;;;;;;x,,,,
open_unsiege_system_title;Open the unsiege System;;;;;;;;;;;;;x,,,,
open_unsiege_system_desc;Gives you acces to all unsiege decisions;;;;;;;;;;;;;x,,,,
close_unsiege_system_title;Close the unsiege System;;;;;;;;;;;;;x,,,,
close_unsiege_system_desc;hides away all unsiege decisions;;;;;;;;;;;;;x,,,,
unsiege_this_title;Unsiege this nation;;;;;;;;;;;;;x,,,,
unsiege_this_desc;unally the player you want to unsiege and then press this decision, if you aoutomatically re-allied him it worked and the flag is set!;;;;;;;;;;;;;x,,,,
unsiege_now_title;Activate the unsiege;;;;;;;;;;;;;x,,,,
unsiege_now_desc;If you pres this decision every player nation with the unsiege flag gets automatically fully unsieged;;;;;;;;;;;;;x,,,,
clear_unsiege_flags_title;Clear all unsiege flags;;;;;;;;;;;;;x,,,,
clear_unsiege_flags_desc;Removes all leftover unsiege flags (safety);;;;;;;;;;;;;x,,,,
#############Gran_Columbia_old_core_removal_events##############;;;;;;;;;;;;;x,,,,
EVTNAME476001;What it means to be Columbian;;;;;;;;;;;;;x,,,,
EVTNAME476002;What it means to be Columbian;;;;;;;;;;;;;x,,,,
EVTNAME476003;What it means to be Columbian;;;;;;;;;;;;;x,,,,
EVTNAME476004;What it means to be Columbian;;;;;;;;;;;;;x,,,,
EVTDESC476001;It is harder to maintain the balance of freedom than it is to endure the weight of tyranny. ;;;;;;;;;;;;;x,,,,
EVTDESC476002;It is harder to maintain the balance of freedom than it is to endure the weight of tyranny.;;;;;;;;;;;;;x,,,,
EVTDESC476003;It is harder to maintain the balance of freedom than it is to endure the weight of tyranny.;;;;;;;;;;;;;x,,,,
EVTDESC476004;It is harder to maintain the balance of freedom than it is to endure the weight of tyranny.;;;;;;;;;;;;;x,,,,
#############Japan_special_cbs##############;;;;;;;;;;;;;x,,,,
demand_concession_casus_belli_japan;Japanese Core Concession;;;;;;;;;;;,,,,
demand_concession_casus_belli_japan_short;Demand $STATE$ from Japan;;;;;;;;;;;,,,,
demand_concession_casus_belli_japan_desc;Force Japan to concede core territory.;;;;;;;;;;;,,,,
demand_concession_casus_belli_japan_setup;Demand that $RECIPIENT$ secede territory.;;;;;;;;;;;,,,,
#############Italy_formation_decision##############;;;;;;;;;;;;;x,,,,
form_italy_sar_title;Avanti Italia!;;;;;;;;;;;;;X,,,,
form_italy_sar_desc;To form Italy we need to gain suprememcy over certain Victory point cities. These cities are Turin, Modena, Florence, Rome and Naples. We have to hold all five victory cities to form Italy in 1840. We have to hold four victory cities to form Italy in 1844. We have to hold three victory cities to form Italy in 1848. We have to hold two victory cities to form Italy in 1852. We have to hold only one victory cities to form Italy in 1856. Our Rival is not allowed to have an equal number or more Victory cities for us to form Italy!;;;;;;;;;;;,,,,
form_italy_sic_title;Avanti Italia!;;;;;;;;;;;;;X,,,,
form_italy_sic_desc;To form Italy we need to gain suprememcy over certain Victory point cities. These cities are Turin, Modena, Florence, Rome and Naples. We have to hold all five victory cities to form Italy in 1840. We have to hold four victory cities to form Italy in 1844. We have to hold three victory cities to form Italy in 1848. We have to hold two victory cities to form Italy in 1852. We have to hold only one victory cities to form Italy in 1856. Our Rival is not allowed to have an equal number or more Victory cities for us to form Italy!;;;;;;;;;;;,,,,
#############iwakura_mission##############;;;;;;;;;;;;;x,,,,
iwakura_mission_title;Iwakura Mission;;;;;;;;;;;;;x,,,,
iwakura_mission_desc;The Iwakura Mission was a Japanese diplomatic journey around the world with the purpose to gather information on education, technology, culture, military, social and economic structures from the countries visited in order to effect the modernization of Japan. When this decision is used ALL GP's gain a one time event that grands us half a year of research at a cost of 100k FOR THEM! We must sway them to help us!;;;;;;;;;;;;;x
